fy,edition,document,pages,table,kind,source,detail
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,note,surprise,"The Special Services report (p102) gives out-of-district special education PLACEMENT COUNTS by type -- 14 students: 2 collaborative, 8 day, 4 residential, against 19 the prior year. That is the count the budget documents never publish, sitting in a narrative section of the town report."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,note,surprise,"Town Clock Winders is a formally appointed office with six named appointees (p13), alongside Pound Keeper, Fence Viewers (listed as 'Vacancies'), Field Driver, Dam Keeper and Assistant Dam Keeper, and seven Public Weighers appointed specifically for P.J. Keating Co."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,note,surprise,"Motor vehicle excise receivables are still being carried back to the levy of 2003, and personal property receivables back to the levy of 1998 (p43-44) -- a twenty-year uncollected tail listed year by year."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,3-4,Table of contents,page numbering,table note,This is also the index of which page numbers the report itself claims for each table -- useful as a cross-check that the PDF page number equals the printed page number (in FY2017 they match).
2017,FY2017,4124-fy-2017-annual-town-report.pdf,35,"New growth revenue, eight years",page numbering,table note,"Also note the tax rates in this table are offset by one year against the Valuation and Tax History table above -- FY2017 new growth is shown at rate 19.61 (the FY2016 rate), which is either a lag convention or an error and should be checked against the source."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,two figures differ,surprise,"The report contains at least three internal figure disagreements that a reader would only find by cross-checking: the fire department's four call categories sum to 2143 against a stated 2107 (p79); PEG access revenue is $107,849.80 in one sentence and $107,889.80 two pages later (p68/p69); and Monty Tech's FY14 total expenditure is $24,785,280 on p142 and $24,785,240 on p143."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,109-110,Turkey Hill math MCAS results and growth percentiles,two figures differ,table note,"Suppressed or unavailable values are printed as 'Xx', 'xx' or 'N/A' -- three different markers in the same grid, and the case varies."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,109-110,Turkey Hill math MCAS results and growth percentiles,two figures differ,table note,The class-of labels are internally inconsistent (the first table labels both Grade 3 and Grade 4 as 'Class of 2026').
2017,FY2017,4124-fy-2017-annual-town-report.pdf,143,"Monty Tech expenditures by DESE function code, five years",two figures differ,table note,FY14 column disagrees with the p142 block for several lines (e.g.
2017,FY2017,4124-fy-2017-annual-town-report.pdf,168-169 (a two-column reprint of the same table also appears at 156-158 inside the Article 8 text),FY2018 omnibus budget by line number,two figures differ,table note,"Contains an obvious typo carried in both renderings: 'Subtotal Police $ 1,4633,881.75' (five digits before the comma). 'Total Public Library $ 381,709.00' also disagrees with the line above it, '82 Lunenburg Public Library $ 381,709.86'."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,192-198,"Town and school employee gross wages, calendar 2017",two figures differ,table note,The two-column layout interleaves: one extracted line carries two different employees.
2017,FY2017,4124-fy-2017-annual-town-report.pdf,200-201,Board and committee meeting schedule,two figures differ,table note,Conservation Commission meets at two different venues on two different weeks.
2017,FY2017,4124-fy-2017-annual-town-report.pdf,52,Forest environmental stewardship plan grants,two figures differ,table note,"Amounts are printed inconsistently -- three with commas ($ 4,342) and two without ($ 2132, $ 3692); the total is printed as '$ 17, 303.00' with a stray space."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,69,"Public access cable revenue versus expenses, FY17",two figures differ,table note,"The ending balance $303,909.77 differs from the special revenue funds table's PEG closing balance of $303,551.54 (p33)."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,99,"School enrollment by grade, February 2018",two figures differ,table note,"Note this is a February 2018 count published in the FY2017 report, and it differs from the October 1 2017 count of 397 for the Primary School quoted on p106 and from the 1,628 total quoted in the Special Services report on p102."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,unreadable / OCR damage,surprise,"A 20-year assessment history for all eighteen Monty Tech member towns (p149), transposed so towns are columns and in a non-alphabetical order that matches no other table in the report. Reading it by column position without checking the header assigns another town's history to Lunenburg."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,,,unreadable / OCR damage,surprise,"Five of the report's biggest financial tables (capital project funds p34, trust funds p37-39, debt repayment schedule p41-42, receivables summary p43-45, Monty Tech balance sheet p140) come out of the text layer TRANSPOSED -- each column collapsed into one run-on line and the row labels stranded at the bottom. They look like data but the row-to-value mapping is gone entirely."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,143,"Monty Tech expenditures by DESE function code, five years",unreadable / OCR damage,table note,"Note the printed FY14 total here ($24,785,240) differs by $40 from the FY14 total on p142 ($24,785,280) -- one of the two is an OCR or typesetting error."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,144,DESE FY18 Chapter 70 regional district enrollment and required contribution by member town,unreadable / OCR damage,table note,"OCR has dropped values from several rows (Harvard, Hubbardston, Princeton and Royalston are missing their FY17 enrollment figure;"
2017,FY2017,4124-fy-2017-annual-town-report.pdf,147,Monty Tech assessment ratio percentages by town,unreadable / OCR damage,table note,Footnote: '* Capital Percentages are used for Bonds and Capital cost.' The header 'INCIDEC' on the capital side is an OCR error for INC/DEC.
2017,FY2017,4124-fy-2017-annual-town-report.pdf,192-198,"Town and school employee gross wages, calendar 2017",unreadable / OCR damage,table note,"OCR has dropped some surnames entirely (lines beginning 'CHAD | 89,330.61 SCHOOL', 'MARY | 71,277.35 SCHOOL') and mangled some amounts ('$1,25.09', '93507.10', '$1,079.11')."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,29-33,"Special revenue funds -- balances, receipts and disbursements",unreadable / OCR damage,table note,"OCR pages -- there are real digit errors ('$8, 168.34', '$3.316.79', '(81.964.05)', '$3.231.29', '$7.633.92') so every figure needs re-reading against the PDF."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,35,Abstract of assessments by property class code,unreadable / OCR damage,table note,"OCR damage: the 'Residential Three Family' row reads '7 37' where two columns collided, and 'Miscellaneous Residential' has lost its account count."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,35,"Overlay, abatements and exemptions account",unreadable / OCR damage,table note,"Badly OCR'd: row labels are corrupted ('harges to 6/30/2017' for 'Charges to 6/30/2017', 'ola Bad to Surplus' for what is presumably 'Released Back to Surplus'), and the header year labels are out of order relative to the values."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,37-39,"Trust funds -- principal, earnings, transfers and market value",unreadable / OCR damage,table note,"Unusable as extracted -- the row/column mapping is destroyed and there are OCR digit errors ('5383.87', '5500000', '$141,522.07$34,979.32')."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,41-42,"Debt repayment schedule, every issue by fiscal year",unreadable / OCR damage,table note,"Unusable as extracted; heavy OCR damage in the label line ('MASS WATER POLL TRUST', 'RINCIPAT', 'AS CIA EATER POL ATTON', 'MASS MATE POD PURPOSE')."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,43-45,"Receivables and collection of taxes, by levy year",unreadable / OCR damage,table note,"OCR has mangled several row labels ('SEABORED ENTER BETTERME 15,05400.30', 'APPROTIONED ASSESSMENT')."
2017,FY2017,4124-fy-2017-annual-town-report.pdf,68,"Public access cable line-item expenses, FY17",unreadable / OCR damage,table note,The Salaries figure is OCR'd as '$34.497.59' (period instead of comma).
2017,FY2017,4124-fy-2017-annual-town-report.pdf,87-88,Police calls-for-service and arrests bar charts (labels only),unreadable / OCR damage,table note,The y-axis labels are OCR-damaged ('18000 / 10000 / 14000 / 12000 / 10000 / 8000') -- the second '10000' is presumably 16000.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,111-112,"District and school accountability classification, 2018",announced but absent,table note,The Primary School is absent from the table entirely.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,137,"Monty Tech total enrollment by town, 2017-2018 (bar chart)",announced but absent,table note,"The value run extracted is '58 27 88 43 335 169 3 72 65 71 2 19 24 13 64 95 68 154 17' and the town run is 'Ashburnham Ashby Athol Barre Fitchburg Gardner Harvard Holden Hubardston Lunenburg Petersham Phillipston Princeton Royalston Sterling Templeton Westminster Winchendon Out-of-District' -- 19 values against 19 labels, so they can be paired positionally, but that pairing is inferred, not printed, and must be verified against the PDF before use."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,137,"Monty Tech total enrollment by town, 2017-2018 (bar chart)",announced but absent,table note,"This chart is the ONLY per-town Monty Tech enrollment figure in the FY2018 report, because the four tables that carried per-town data in FY2017 (foundation enrollment comparison, assessment ratios, community assessments, twenty-year assessment history) are all absent this year."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,138,Monty Tech 2018 MCAS performance (bar chart),announced but absent,table note,Values extract as '100% 96% 98% / 95% 85% 82% / 5% 11% 16% / 0% 4% 2%' against subjects 'ELA Math Science' -- readable by position but not printed as a table.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,28,Receipts by revenue account for the year,announced but absent,table note,"New accounts absent from FY2017: HEALTH LICENSES $1,600.00, E-RATE REIMBURSEMENT $8,322.75, STATE REVENUE $1,677.00 (a line literally named 'STATE REVENUE' inside the STATE REVENUE group)."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,111-112,"District and school accountability classification, 2018",continues elsewhere,table note,"This table has NO FY2017 counterpart because the accountability system changed: FY2017 reported Levels 1-5, which DESE discontinued, so the two years cannot be compared on this measure."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,155-158,FY2019 omnibus budget by line number,continues elsewhere,table note,"Line numbering is continuous with FY2017's, which is what makes mid-year amendment votes readable."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,222-223,Paid vacation schedule by years of service,continues elsewhere,table note,"The first row is corrupted in extraction: '10 Months Less than one complete year of continuous service | 808 hours per each full calendar month up to 80 hours' -- the '808' is a collision of the struck-through '8' and the replacement '8 hours per month', because the whole article is printed with additions underlined and deletions struck through and the strike-through markup does not survive extraction."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,69-70,Departmental budget changes for FY2019,continues elsewhere,table note,"FY2017's equivalent report was continuous prose with only a handful of figures; this year's is itemised, so the two years are not comparable in structure."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,duplicated,surprise,"Article 7 of the November Special Town Meeting reprints an entire bylaw section with additions underlined and deletions struck through, but the strike-through markup does not survive text extraction, so the extracted text runs the old and new wording together ('payable on the last first payroll warrant in Julyne') and the paid-vacation table's first row collides into a nonexistent '808 hours'."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,102,"Police activity statistics, 2018",duplicated,table note,"THREE THINGS TO WATCH: (1) the report gives the calls-for-service increase as '13.7%' in one sentence and '13.6%' two paragraphs later; (2) the sentence 'In the first half of fiscal 2017, staff assignments had to be increased 75 times' is copied verbatim from the FY2017 report and still says 2017 -- it is stale text, not a 2018 figure; (3) the K-9 deployment count of 27 is also identical to FY2017's."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,136,Monty Tech member towns,duplicated,table note,Identical to FY2017 p123.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,139,"Monty Tech AP exam results, six-year review",duplicated,table note,"The five overlapping year columns are identical to FY2017's printing, so the series is consistent."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,41,"Valuation and tax history, five years",duplicated,table note,"Small, but they mean the two reports are not byte-identical on shared years."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The entire Monty Tech FINANCIAL section is missing. FY2017 carried eight Monty Tech tables at pp140-149 -- balance sheet, budget summary, five-year income and expense, expenditures by DESE function code, DESE's Chapter 70 worksheet, foundation enrollment vs school attending children, assessment ratio percentages, community assessments, and a twenty-year assessment history. FY2018's Monty Tech section stops at p149 with the school committee roster and contains NONE of them. Lunenburg's Monty Tech assessment appears in FY2018 only as a single omnibus budget line. A search for 'COMMUNITY ASSESSMENTS' or 'ASSESSMENT HISTORY' returns nothing in this document."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The FY2018 report silently corrects a digit-drop in the FY2017 report. FY2017 printed 2017 Bond Anticipation Notes as $295,925 and total outstanding indebtedness as $52,093,784; FY2018's five-year debt table prints the same year as $2,895,925 and $54,693,785 -- and FY2017's own balance sheet said BANS PAYABLE $2,895,925.00. Neither report flags the correction."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The FY2019 omnibus budget table foots to $36,804,408.83 under a heading and an article vote that both say $36,867,903.83, and the Town Manager's report gives a third figure, $36,813,954.63, for the same budget. All three are in this one document."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"Monty Tech's per-program gender split vanished. FY2017 gave male/female counts for all twenty vocational programs in parentheticals; FY2018 gives only a total, while the narrative on the same page still asserts the student body is 'well-balanced by gender'."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The employee wage table lost its department column between the two years, so calendar 2018 payroll cannot be split by department at all -- and the senior property-tax work-off participants, who were identifiable in FY2017 by a 'TAX WORKOFF' tag, are now indistinguishable from ordinary employees."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The cemetery report prints an explicit correction to the previous year's town report ('Note: Correction on 2017 Town Report- *Lillian Griffiths Age: 99 North') -- the FY2017 report had printed her surname as Griffin. It also starts printing a total (18 full burials, 18 cremations, 36 total) where FY2017 printed none."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"Two structured datasets exist only as prose or charts: the Finance Committee's department-by-department FY2019 budget changes are a bulleted list (p69-70), and Monty Tech's per-town enrollment survives only as bar-chart data labels whose pairing with town names has to be inferred from position (p137)."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The town profile page says 7,870 registered voters; the May 2018 election tally sheet on p234 says 7,799. Both are in the same report and neither reconciles to the other."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,,,note,surprise,"The vital records counts moved off their own page and were appended to the bottom of an election tally page (p236), and the contents page does not list them -- so a heading- or contents-driven search for vital records in FY2018 finds nothing."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,130,"Lunenburg High School MCAS results, 2018",stale / copied forward,table note,Note the surrounding prose still calls LHS 'a Level 1 school' even though the same report explains on p111 that DESE discontinued Levels 1-5 for 2018 -- stale language carried forward.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,104,Capital plan recommended for FY2019,two figures differ,table note,Column headers differ from FY2017 ('Project #' / 'Project Title' vs 'CIP Tracker' / 'Priority' / 'Item') and the Priority column is GONE -- FY2017 marked every item priority 1.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,234-236,Annual town election results by precinct,two figures differ,table note,"Note the registered-voter total here (7,799) disagrees with the 7,870 printed on the town profile page (p6) of the same report."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,26,"Combined balance sheet, all fund types",two figures differ,table note,"Rows differ from FY2017: 'DUE FROM/TO TRUST FUNDS/SRF/ENTERPRISE' and 'DUE FROM/TO GENERAL FUND' have been merged into single signed rows (FY2017 had separate DUE FROM and DUE TO rows), and 'DUE FROM COMMONWEALTH OF MASS', 'PREPAID EXPENSES' and 'DUE TO TRUST FUNDS/SRF/CPF/ENTERPRISE' are now blank."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,4-5,Table of contents,two figures differ,table note,"Differs from FY2017: department headings are in ALL CAPS, and the FY2017 practice of naming departments that filed no report ('Agricultural Commission - no report submitted') is GONE -- bodies that did not report are simply absent, so the contents page no longer records the omission."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,41,Assessments and revenues by property class,two figures differ,table note,"Heading differs from FY2017: 'by Major Class' here, 'by Major Property Class' in FY2017; column header is 'Valuations by Class' (plural) vs FY2017's 'Valuation by Class'."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,6,Town profile facts,two figures differ,table note,"Note this disagrees with both election tally sheets in the same report -- the May 2018 town election counted 7,799 registered and the report gives no reconciliation."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,155-158,FY2019 omnibus budget by line number,unreadable / OCR damage,table note,"Unlike FY2017 this table is printed ONCE (FY2017 printed the same table twice, cleanly at pp168-169 and as a mangled two-column OCR at pp156-158)."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,237-243,"State primary results by precinct, September 4 2018",unreadable / OCR damage,table note,FY2017 had only a badly OCR'd special primary; this is a full state primary and it is readable.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,248-254,"Town and school employee gross wages, calendar 2018",unreadable / OCR damage,table note,"Offsetting that, this year's extraction is cleaner -- FY2017's OCR dropped some surnames entirely and mangled amounts;"
2018,FY2018,4125-fy-2018-annual-town-report.pdf,30-34,"General fund appropriations and expenditures, line by line",unreadable / OCR damage,table note,"FY2018's is OCR and it has DROPPED WHOLE VALUES, not just mangled digits."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,30-34,"General fund appropriations and expenditures, line by line",unreadable / OCR damage,table note,"Digit-level OCR errors are pervasive: '57,537.37' for $7,537.37, '5104,850.58', '$187.004.44', '$2,500,00', '$B27.89', 'S4,822.10', '$1,842,18', '$69,390,67', 'S6,034.260.00' against '$5,034,260.00' on the same row, '$60,821.52' where the two flanking columns both say $50,821.52, '51,106,982.00', '$218.376.00', 'fwel' for 'fwd', 'Ift' for 'rft', 'Mte' for 'Mtc', 'Imit' as a stray line."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,35-39,"Special revenue funds -- balances, receipts and disbursements",unreadable / OCR damage,table note,"OCR errors present but fewer than FY2017: '$6.902.18', '(53,309.18)' for ($3,309.18), '$42.355.59', '$248.016.00', '$2.426.50', '$1.208.91'."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,40,"Capital project funds -- authorised, spent and balance by project",unreadable / OCR damage,table note,The FY2017 report's version of this table (p34) came out of the text layer completely transposed and unusable;
2018,FY2018,4125-fy-2018-annual-town-report.pdf,41,"Overlay, abatements and exemptions account",unreadable / OCR damage,table note,"FY2017's version had a corrupted OCR label set ('harges to 6/30/2017', 'ola Bad to Surplus') and columns FY2017/FY2016/FY2015/Prior Years/Totals; this version is clean, adds a 'Potential Liability' row, replaces the 'released to surplus' row with 'Total Balance', and shows five named fiscal years instead of a 'Prior Years' bucket."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,44-46,"Trust funds -- principal, earnings, transfers and market value",unreadable / OCR damage,table note,Same transposition failure as FY2017 pp37-39; unusable as extracted and must be re-read with coordinates.
2018,FY2018,4125-fy-2018-annual-town-report.pdf,44-46,"Trust funds -- principal, earnings, transfers and market value",unreadable / OCR damage,table note,"OCR turns many leading F's into E's ('EY 2018' for 'FY 2018') and many dollar signs into S ('S70,675.81')."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,47,"Outstanding long-term debt, five years",unreadable / OCR damage,table note,"MUCH cleaner than the FY2017 version (plain text, not OCR) and it silently CORRECTS the FY2017 report."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,48-51 (with a readable summary block on 49),"Debt repayment schedule, every issue by fiscal year",unreadable / OCR damage,table note,"Pages 48, 50 and 51 remain unusable OCR with heavy digit damage ('$139.B25', '$4B0,545', '$B1,613', '5480,525', 'S213.665') and corrupted row labels ('MAS WAS POETROLL TRUSTE', 'HO IS GERERALOB BICATION.', 'TOTAL COB MFLOF 2017', 'VEHICLE MENTALIZATION')."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,52-54,"Receivables and collection of taxes, by levy year",unreadable / OCR damage,table note,"FY2018 adds a 'SEPTIC EOCD' row that FY2017 did not have, and drops FY2017's garbled 'SEABORED ENTER BETTERME' row."
2018,FY2018,4125-fy-2018-annual-town-report.pdf,82,"Public access cable line-item expenses, FY18",unreadable / OCR damage,table note,"Extracts cleanly, unlike FY2017's version which had an OCR'd salary figure."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,197-203,"Town and school employee gross wages, calendar 2019",announced but absent,table note,But the WAGE AMOUNTS are almost entirely absent: 39 of roughly 570 appear on p199 and one on p197; pages 198 and 200-203 carry no amounts at all.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,"29, 31",General fund expenditures pie chart (printed twice),does not sum,table note,Percentages do not sum to 100 because the Education slice's label did not OCR.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,duplicated,surprise,"PAGES 29 AND 31 CARRY THE SAME PIE CHART. Both are headed 'GENERAL FUND EXPENDITURES FY 2019' with identical percentages, but the contents page says p29 (folio 27) should be the General Funds Revenue Chart. The FY2019 report does not contain a general fund revenue chart at all. The previous inventory raised this as unresolvable from the broken text; the corrected text settles it -- the same image was printed twice."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,duplicated,surprise,"The FY2020 capital plan is printed twice (p107 and p160) and the two printings ARE identical, contrary to what the broken text suggested. The town meeting printing is the more complete of the two: it supplies a Category column and the project name 'Master Plan' that the Capital Planning Committee's own printing lost."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,note,surprise,"The employee gross wages table is the one financial table the correction did NOT recover. Names now read perfectly in alphabetical order across all seven pages, but only 40 of roughly 570 wage figures survive, all but one of them on a single page. The rotation was never the problem there."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,note,surprise,"The Fire Department's own call breakdown does not add up: 420 + 949 + 554 + 26 = 1,949 against a stated total of 1,885. The 554 is separately confirmed on the same page as the Fire Prevention Division's inspection count, which suggests inspections are inside one figure and outside the other."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,note,surprise,"The FY2020 omnibus budget prints Central Purchasing at $603,030.00 on its line and $60,303.00 on its own subtotal row -- a factor of ten apart in a voted budget. The group subtotals only reconcile to the $38,058,164.30 Omnibus total with the smaller figure."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,note,surprise,"Out-of-district special education placement COUNTS -- the quantity the budget documents never publish -- are stated in plain prose on p119: 12 students outside the district (14 the year before), of which 4 collaborative, 5 day and 3 residential, plus 6 in the ACE programme and 138 students on 504 plans. It is in the Director of Special Services' narrative, not in any table."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,note,surprise,"The Cemetery Commission publishes every 2019 interment by name and age, with war service annotated, two pages before the Town Clerk explains that names have been removed from the vital records section for the safety and security of residents."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,note,surprise,"The Public Access Cable Committee publishes a complete profit-and-loss for its own fund -- opening balance, revenue, nine expense lines, and a separately held Comcast capital fund -- and every figure ties to the special revenue funds schedule on p41. No other single department in the report gives anything like it."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,"29, 31",General fund expenditures pie chart (printed twice),page numbering,table note,The table of contents says p29 (folio 27) should be the 'General Funds Revenue Chart'.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,129,"Lunenburg Middle School MCAS results, 2019",two figures differ,table note,The report contradicts itself on which year this is; do not quote a year from this table without checking the PDF.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,9,Town facts panel,two figures differ,table note,"AREA is printed twice and inconsistently: the panel says 26.63 square miles, the paragraph below says approximately 26.4."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,,,unreadable / OCR damage,surprise,"Two pages OCR'd MIRRORED rather than merely rotated -- p116 (school enrollment) and p195 (part of the election results), plus p52 of the debt schedule. Their rows and columns are intact but reversed, which makes them recoverable with care rather than lost."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,"124-125, 128, 131-132, 135-137",School staff rosters,unreadable / OCR damage,table note,Some names are still OCR-damaged.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,160,"FY2020 capital plan (as voted, Annual Town Meeting Article 6)",unreadable / OCR damage,table note,With the corrected text both printings carry the SAME fourteen projects in the same order; the apparent difference was an OCR artefact.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,161-164,FY 2020 omnibus budget as voted,unreadable / OCR damage,table note,Some line numbers and a few account names did not OCR.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,193-196,"Annual Town Election results by precinct, 18 May 2019",unreadable / OCR damage,table note,"Scattered precinct cells did not OCR, but every contest's TOTAL row survives and the totals reconcile against ballots cast x seats."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,197-203,"Town and school employee gross wages, calendar 2019",unreadable / OCR damage,table note,"This is not a row-order problem the rotation fix could touch, so the figures are either faint in the print or dropped by the OCR engine, and the PDF has to be re-read to get them."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,28,"Combined balance sheet, all fund types, 30 June 2019",unreadable / OCR damage,table note,"Dollar signs are frequently OCR'd as '5' at the start of a figure ('51,286,217.55' = $1,286,217.55)."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,30,"FY 2019 receipts, by revenue source",unreadable / OCR damage,table note,IMPORTANT LIMITATION: the rendering is hard-clipped at 188 characters.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,30,"FY 2019 receipts, by revenue source",unreadable / OCR damage,table note,The first two column pairs survive complete; the THIRD column's labels survive but every one of its AMOUNTS is cut off.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,43,Fiscal Year 2019 abstract of assessments,unreadable / OCR damage,table note,"Several Accounts values did not OCR (rows 105, 103/109, 111-125, 130-132/106, 300-393, 400-442, 501-508)."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,43,Assessor's account for exemptions and abatements,unreadable / OCR damage,table note,"One value has an OCR space: '120, 469.33'."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,47,Trust and stabilization funds held by other banks,unreadable / OCR damage,table note,ENDING VALUE column clipped by the 188-character limit.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,53-55,FY2019 collection of taxes -- receivables summary,unreadable / OCR damage,table note,The prior inventory recorded that the ADJUSTMENTS column is ALSO physically clipped by the page edge in the printed report; that remains plausible and is not settled by this text.
2019,FY2019,4126-fy-2019-annual-town-report.pdf,95,"Communicable disease case counts, 2019",unreadable / OCR damage,table note,"Only six diseases OCR: Anaplasmosis 2, Arborvirus 1, Campylobacteriosis 2, Cyclosporiasis 1, Hepatitis C 3, Influenza 48."
2019,FY2019,4126-fy-2019-annual-town-report.pdf,96,Fire Department 2019 call volume,unreadable / OCR damage,table note,"Those sum to 1,949, which does NOT equal the stated 1,885 -- a discrepancy of 64 that is in the printed report, not in the OCR."
2020,FY2020,4127-fy-2020-annual-town-report.pdf,131,Monty Tech member towns,announced but absent,table note,"Ashburnham and Ashby are missing from the extracted list (the first column starts at Athol), so check the PDF."
2020,FY2020,4127-fy-2020-annual-town-report.pdf,96,FY 2021 capital plan (original January recommendation),announced but absent,table note,"The revised list itself is NOT printed here -- the town meeting record on p150 shows $647,880 was actually voted in June and p168 shows a further $494,333 voted in November."
2020,FY2020,4127-fy-2020-annual-town-report.pdf,31-35,"Special revenue funds, FY ending 6/30/20",continues elsewhere,table note,"New in FY2020 with a $0.00 opening balance: 'Cares Act Funding - COVID' $147,421.00 received / $15,428.26 spent / $131,992.74 carried; 'FEMA #4496 - COVID Grant' $0 received / $34,094.82 spent / ($34,094.82) i.e. a NEGATIVE carry-forward; 'Continuity of Operations Grant' $35,000; 'MIIA Flex Grant' $6,616; 'Financial Trend Monitoring Grant' $15,000; 'Extended Polling Hours Grant' $1,248.80; 'Municipal Vulnerability Grant' $15,000; 'Recycling IQ Grant' $10,929.05; 'State Earmark - Town Hall Ramp' $13,500 received against $27,000 spent, also negative."
2020,FY2020,4127-fy-2020-annual-town-report.pdf,86,Fire Department 2020 call volume,continues elsewhere,table note,"Also states 534 fire prevention inspections were conducted and a $6,953 Department of Fire Services grant continued."
2020,FY2020,4127-fy-2020-annual-town-report.pdf,,,does not sum,surprise,"The Public Access Cable committee's own revenue-vs-expenses table carries a figure copied forward unchanged from the FY2019 report: the 'Subtotal' of $449,041.36 is FY2019's number, and does not follow from FY2020's own arithmetic ($699,875.47 - $116,933.54 = $582,941.93). The two expense totals on the same page also disagree by 32 cents."
