fy,edition,document,name,printed_heading,pages,what_it_is,grain,columns,layout,printed_total,approx_rows,extractable,notes,cluster
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Monty Tech expenditures by DESE function code, five years",SUMMARY BY FUNCTION CODE / 2014-2018,143,"Four years of actual expenditures plus the FY18 proposed budget for every DESE function code, with subtotals for each 1000-series function group.","one function code, with a bold FUNCTION N000 subtotal row after each group",Function Code | Function Description | FY 14 Actual Expenditures | FY 15 Actual | FY16 Actual | FY17 Actual | FY18 Proposed Budget | Increase/Decrease FY 17 to FY 18 | Percentage Incr/Decr FY17 to FY18,Nine-column OCR table; the Increase/Decrease column is blank on most rows so lines have varying field counts,"Total $24,785,240 $25,548,074 $26,228,813 $26,364,958 $26,895,680 $ 530,722 2.01%",45,messy,"Same actuals-versus-budget mix as p142. Note the printed FY14 total here ($24,785,240) differs by $40 from the FY14 total on p142 ($24,785,280) -- one of the two is an OCR or typesetting error. Individual function codes carry real detail: 2300 Teaching Services $9,305,704 FY17, 3300 Student Transportation $1,895,421, 5250 Retired Employee Benefits $1,004,045. Some rows have a blank FY14/FY15 cell (2320 Medical/Therapeutic Services, 4300 Extraordinary Maintenance) making the '100.00%' change figures meaningless. FY14 column disagrees with the p142 block for several lines (e.g. District Leadership 993,175 here vs 964,228 there).",code dese expenditures five
2017,FY2017,4124-fy-2017-annual-town-report.pdf,DESE FY18 Chapter 70 regional district enrollment and required contribution by member town,Massachusetts Department of Elementary and Secondary Education Office of School Finance / FY18 Chapter 70 / Regional District Enrollment and Contributions by Member City or Town,144,"A reproduction of DESE's own FY18 Chapter 70 worksheet for Monty Tech: each member town's foundation enrollment in FY17 and FY18, its share of that town's total enrollment, and its required minimum contribution for FY17 and FY18 with the change.",one member town,LEA Member | FY17 Foundation Enrollment | FY18 | Change | Pct of Town Enrollment | FY17 Required Minimum Contribution | FY18 | Change,"OCR'd screenshot of a state web page, complete with a 'Return to Index' link artefact at the top","District Total 1,500 1,496 -4 9,077,316 9,194,861 117,545",18,messy,"OCR has dropped values from several rows (Harvard, Hubbardston, Princeton and Royalston are missing their FY17 enrollment figure; Barre's row has a stray '5'). This is a STATE document reproduced inside the town report -- provenance is DESE, not Lunenburg. Lunenburg: 91 -> 92 foundation students, required minimum contribution $824,401 -> $805,318, a $19,083 DECREASE.",chapter contribution dese district
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Monty Tech foundation enrollment vs school attending children, by town",STUDENT ENROLLMENT AND SCHOOL ATTENDING CHILDREN COMPARISONS,145,"Two different student counts for each member town side by side: foundation enrollment at Monty Tech (used to apportion operating costs) and total school attending children grades 1-12 in that town (used to apportion capital costs), each for 10-01-15 and 10-01-16 with the difference.",one member town,COMMUNITIES | FOUNDATION ENROLLMENT 10-01-15 | 10-01-16 | DIFF | SCHOOL ATTENDING CHILDREN (GR. 1-12) 10-01-15 | 10-01-16 | DIFF,Seven-column table with a two-level header; the first data row (Ashburnham) is split one value per line,"TOTAL IN DISTRICT 1,500 1,496 (4) 24,886 24,711 (175); TOTAL OUT-OF-DISTRIC 20 13 (7); TOTAL ENROLLMENT 1,520 1,509 (11)",18,messy,"The sub-headings say exactly what each count is FOR: '(Basis for Operational Apportionment)' and '(Basis for Capital Apportionment)'. Negative changes are in parentheses. 'TOTAL OUT-OF-DISTRIC' is truncated in the source. Lunenburg's school attending children fell 1,704 -> 1,645.",attending children enrollment foundation
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Monty Tech assessment ratio percentages by town,ASSESSMENT RATIO PERCENTAGES,147,"Each member town's operating and capital apportionment percentages for two consecutive years, with the change.",one member town,COMMUNITIES | TRANSPORTATION & OTHER OPERATING PERCENTAGES 10/1/2015 (2016-2017) | 10/1/2016 (2017-2018) | INC/DEC | CAPITAL PERCENTAGES 10/1/2015 (2016-2017) | 10/1/2016 (2017-2018) | INC/DEC,Seven-column table,TOTALS 100.00% 100.00% 0.00% 100.00% 100.00% 0.00%,18,clean,"Footnote: '* Capital Percentages are used for Bonds and Capital cost.' The header 'INCIDEC' on the capital side is an OCR error for INC/DEC. Preceded on p146 by 'DETERMINATION OF ASSESSMENT RATIOS', a worked-example page explaining both formulas -- which itself contains an internal inconsistency, citing October 1 2017 in the formula text but October 1 2014 in the worked example.",assessment monty percentages ratio
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Monty Tech community assessments, FY2018",COMMUNITY ASSESSMENTS / FISCAL YEAR 2018,148,"The bill each member town receives: foundation enrollment, foundation budget, required minimum contribution, transport/operating assessment, capital assessment, bonds, total FY2018 assessment, total FY2017 assessment and the change.",one member town,COMMUNITIES | FOUNDATION ENROLLMENT | FOUNDATION BUDGET | (1) REQUIRED MINIMUM CONTRIBUTION | TRANSPORT/OPERATING ASSESS. | CAPITAL ASSESS. | (4) BONDS | APPROVED ASSESSMENT FY'2018 | APPROVED ASSESSMENT FY2017 | CHANGE FY'17 ~ FY18,Ten-column table with column-number tags '(1)' and '(4)' referring back to the p141 budget summary,"Total 1496 23,339,672 9,194,861 678,665 187,500 253,050 10,314,076 10,120,930 193,146",18,clean,"Lunenburg's FY2018 assessment is $876,381, DOWN $13,677 from FY2017's $890,058 -- and $890,058 is exactly the Monty Tech Assessment expended figure in the town's own general fund appropriations table (p27). The two documents tie.",assessments community monty tech
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Monty Tech assessment history, twenty years",ASSESSMENT HISTORY / 1998-2017,149,"Twenty school years (1998-1999 through 2017-2018) of assessment for each of the eighteen member towns, with a district total and year-over-year percent change.",one school year (towns are the columns),SCHOOL YEAR | ASHBY | BARRE | FITCHBURG | GARDNER | HARVARD | HUBBARDSTON | LUNENBURG | ROYALSTON | STERLING | WINCHENDON | ASHBURNHAM | ATHOL | PETERSHAM | PHILLIPSTON | PRINCETON | TEMPLETON | WESTMINSTER | HOLDEN | TOTAL | % CHANGE,"TRANSPOSED relative to every other Monty Tech table -- towns are columns, years are rows. Each year's 18 town figures plus total run on one extracted line, with the % CHANGE on the following line.","each year has a TOTAL, e.g. 2017-2018 total 10,314,076",20,messy,"The town column order here is NOT alphabetical and does NOT match the order used on p145/p147/p148 -- it runs ASHBY, BARRE, FITCHBURG, GARDNER, HARVARD, HUBBARDSTON, LUNENBURG, ROYALSTON, STERLING, WINCHENDON, ASHBURNHAM, ATHOL, PETERSHAM, PHILLIPSTON, PRINCETON, TEMPLETON, WESTMINSTER, HOLDEN. Getting this wrong silently assigns another town's history to Lunenburg. The two earliest years (1999-2000, 1998-1999) have only 17 values because Holden had not joined. A twenty-year assessment series for Lunenburg is available nowhere else in the report: 128,491 in 1998-99 rising to 876,381 in 2017-18.",assessment history monty tech
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Vital records counts,VITAL RECORDS REPORT:,152,"Counts of births, deaths and marriages recorded by the Town Clerk in calendar 2017.",one record type,record type | count,One line of three label-dash-number pairs,,3,clean,"BIRTH - 99, DEATHS - 102, MARRIAGES - 31. The page carries an explicit note that names were removed on the recommendation of the Registry of Vital Records and the U.S. Department of State -- earlier annual reports listed individuals by name, so this is a deliberate change in what is published.",counts records vital
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Revolving funds authorised for FY18,ARTICLE 2 (revolving fund table),153,"The six revolving funds authorised under MGL c.44 s.53E1/2 for the fiscal year beginning July 1 2017, each with the body authorised to spend, its revenue source, allowed expenses and the FY18 spending limit.",one revolving fund,"Revolving Fund | Department, Board, Committee, Agency or Officer Authorized to Spend from Fund | Revenue Source | Program or Activity Expenses Payable from Fund | FY18 Spending Limit",Five-column table embedded inside the Article 2 text; the extraction has broken every header and cell across multiple lines,,6,not without geometry,"Funds: Ambulance Billing ($100,000), Timber Rights ($10,000), School Custodial Special Details ($13,000), Green Thumb ($5,000), Library Revolving ($12,000), Council on Aging/MART Revolving ($45,000). Articles 3 and 4 authorise two MORE revolving funds in prose rather than in the table (Storm Water Task Force $5,000; Electrical, Gas and Plumbing Inspector $46,000 credited with 82.5% of wiring fees and 80% of plumbing/gas fees), so the table is not the complete list.",authorised funds revolving
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Annual Town Meeting article-by-article votes, May 6 2017","TOWN MEETING EXCERPTS / ANNUAL TOWN MEETING - MAY 6, 2017",153-167,"The full warrant with, for each of 39 articles, the article text, who submitted it, the Board of Selectmen and Finance Committee recommendations, the vote taken and the exact wording and dollar amounts voted.",one warrant article,article number | article text | submitted by | BOS recommendation | FinCom recommendation | vote outcome | amount and source voted,"Running prose blocks per article; vote outcomes in bold caps (VOTED UNANIMOUSLY, VOTED 2/3rds DECLARED, DEFEATED, PASSED OVER)","Article 8 total: 'defray the charges and expenses of the Town for Fiscal Year 2018 of $35,690,393.70'",39,messy,"This is the authoritative record of what was appropriated and from which source. Article 6 lists eleven individual line-item transfers by budget line number to amend the FY2017 budget mid-year. Article 8 names all five funding sources for the FY18 omnibus (raise and appropriate $34,644,814.46, Septic Receipts Reserved $10,868.00, Sewer Enterprise $911,971.24, Reserve for MSBA Debt $59,959.00, Water Betterment Revenue $62,781.00). Outcomes other than approval are recorded: Articles 22, 23 DEFEATED; Articles 24, 37, 39 PASSED OVER. Meeting adjourned 3:16 P.M.",article may meeting votes
2017,FY2017,4124-fy-2017-annual-town-report.pdf,FY2018 omnibus budget by line number,FY'18 OMNIBUS BUDGET:,168-169 (a two-column reprint of the same table also appears at 156-158 inside the Article 8 text),"The voted FY2018 operating budget, one row per numbered budget line, grouped by Maturing Debt & Interest, Unclassified, General Government, Central Purchasing, Protection, Health & Sanitation, Department Public Works, Facilities and Buildings, Solid Waste/Recycling, Public Assistance, Schools, Library, with group subtotals.",one numbered budget line,LINE # | ACCOUNT | FY18,Single clean list on p168-169; the SAME table also appears on p156-158 rendered as an OCR'd two-column landscape layout that interleaves unrelated lines,"Total Omnibus $ 35,690,393.70",90,clean,"USE THE p168-169 VERSION, not the p156-158 one -- they are the same table and the p168 rendering is clean while the p156-158 rendering interleaves two columns. The line NUMBERS are what town meeting votes refer to when amending the budget mid-year (see Article 6 on p154 and the November STM on p170), so they are load-bearing. Contains an obvious typo carried in both renderings: 'Subtotal Police $ 1,4633,881.75' (five digits before the comma). 'Total Public Library $ 381,709.00' also disagrees with the line above it, '82 Lunenburg Public Library $ 381,709.86'. School Department is one line: $19,602,049.00. Lines showing '-' were funded at zero (Wiring Inspector, Plumbing/Gas Inspector, Assessor's Salaries, Municipal Hearing Officer, Vehicle Mtc - School, Interest-Temporary Loans).",budget line number omnibus
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Special Town Meeting article-by-article votes, November 28 2017","SPECIAL TOWN MEETING - November 28, 2017",170-185,"The November special town meeting warrant with the vote on each article, followed by the full text of the stormwater bylaws adopted as Chapter 204 Sections 1 and 2.",one warrant article,article number | article text | submitted by | recommendations | vote outcome | amount voted,"Prose blocks; Articles 20 onward are the verbatim bylaw text, which runs pages 173-185 as legal text with lettered and numbered subsections",,20,messy,"Article 1 amends the FY18 budget by $199,972 with three named transfers. Articles 2 and 3 fund the first year of the firefighters' (PFFM Local 4358A) and municipal employees' (AFSCME Council 93) collective bargaining agreements from Line 13A/Salary Reserve Fund -- $13,884.22 and $13,746.45. Article 11 (a citizens' petition for a ten-year moratorium on selling five named town buildings) was DEFEATED; Articles 17 and 18 PASSED OVER. Pages 173-185 are pure bylaw text with no tabular data, apart from a noncriminal penalty schedule in prose on p179 ('$25 / $50 / $100 / $200 for the fourth and each subsequent violation').",article meeting november special
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Annual town election results by precinct,"ANNUAL TOWN ELECTION / LUNENBURG, MASSACHUSETTS / Saturday, May 20, 2017",186-188,"Vote totals for every contested and uncontested town office, broken out by the four precincts, with all-others and blanks, plus registered voters and ballots cast per precinct.",one candidate (or ALL OTHERS / BLANKS line) for one office,candidate or line | PRECINCT A | B | C | D | TOTAL,"Six-column table; each office is a block headed by the office name, the term length and 'VOTE FOR n', ending with a TOTAL row",Per office: TOTAL 1168 for two-seat races and TOTAL 584 for one-seat races. Overall header: TOTAL REGISTERED VOTERS 1956 1813 1989 1862 7620 and BALLOTS CAST 181 97 126 180 584,45,clean,"The per-office TOTAL is ballots cast times seats, so it reconciles: 584 ballots x 2 seats = 1168. Turnout was 584 of 7620 registered = 7.7%. '**ELECTED' marks winners; a single '*' marks Troy Daniels, elected Sewer Commissioner for 1 year on 3 write-in votes. Two elected candidates -- Joseph Anderson (9 votes) and Troy Daniels (3 votes) -- won on write-ins. Offices covered: Selectman, Sewer Commissioner (3yr and 1yr), Board of Health, Assessor, School Committee, Park Commissioner, Commissioner of Trust Funds, Cemetery Commissioner, Library Trustee, Planning Board.",election precinct results
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Special state primary and special state election results,"SPECIAL STATE PRIMARY NOVEMBER 05, 2017 / SPECIAL STATE ELECTION DECEMBER 07, 2017",189,"Precinct-level results for the special primary (Democratic, Republican and Libertarian ballots) and the special general election for Senator in General Court.",one candidate for one party ballot,candidate | PRE A | PRE B | PRE C | PRE D | TOTAL,"OCR'd table, badly damaged",Special election TOTAL 341 (partial); Republican primary TOTAL 265,12,not without geometry,"Heavily OCR-damaged: precinct headers are missing or duplicated, several rows have fewer values than precincts, blanks and write-in rows are empty, and stray text ('TENSIS.', 'HOUSSYN') appears at the top. The general-election TOTAL column reads 341 where the candidate totals given (481 + 642) imply otherwise. Do not use without re-reading the PDF. This is the election that filled the seat Sen. Flanagan vacated -- Dean A. Tran won.",election primary results special
2017,FY2017,4124-fy-2017-annual-town-report.pdf,"Town and school employee gross wages, calendar 2017",CALENDAR 2017 GROSS WAGES,192-198,"Every person paid by the town or the schools in calendar year 2017, with surname, first name, gross wages and the department that paid them.",one employee,surname | first name | gross wages | department,"Two side-by-side columns per page, seven pages, alphabetical by surname running down the left column then the right",,612,messy,"No total is printed anywhere -- there is nothing to reconcile this against, and it is a CALENDAR year against the report's FISCAL year figures, so it will not tie to the payroll lines in the appropriations table. The two-column layout interleaves: one extracted line carries two different employees. OCR has dropped some surnames entirely (lines beginning 'CHAD | 89,330.61 SCHOOL', 'MARY | 71,277.35 SCHOOL') and mangled some amounts ('$1,25.09', '93507.10', '$1,079.11'). Department tags are short codes: SCHOOL, POLICE, FIRE, DPW, COA, LIBRARY, ACCT, PLANNING, TREASURERS, SELECTMEN, REGISTRATIONS, WIRING, PLUMB/GAS, WGHTS MEAS, ANIMAL CTRL, LAND USE, VETERANS AGT, TAX WORKOFF, DW (probably a typo for DPW). The TAX WORKOFF entries are the senior property tax work-off participants -- named individuals receiving up to $1,000. Selectmen are paid $100.00 each. Roughly two thirds of all rows are SCHOOL.",calendar employee gross school
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Town office hours and phone numbers,TOWN OFFICES HOURS PHONE #,199,Each town office with its opening hours and telephone number.,one office,office | hours | phone,Three-column list; hours often wrap to a second line,,28,messy,"States 'ALL TOWN OFFICES, EXCEPT WHERE NOTED, ARE CLOSED ON FRIDAYS.' Footnote flags that the Water District 'is a separate distinct municipal entity not associated with the Town of Lunenburg' -- relevant to anyone treating water as a town function.",hours numbers office phone
2017,FY2017,4124-fy-2017-annual-town-report.pdf,Board and committee meeting schedule,MEETING SCHEDULE,200-201,"When and where each board, commission and committee regularly meets.",one board or commission,BOARD/COMMISSION | DAY | TIME | LOCATION,Four-column list continuing onto p201 with the header repeated,,22,clean,"Several entries are 'AS NEEDED' or 'VARIES' rather than a fixed schedule (Capital Planning, Green Community Task Force, Cemetery Commission, Parks Commission, Zoning Board of Appeals). Conservation Commission meets at two different venues on two different weeks.",board committee meeting
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Table of contents,TABLE OF CONTENTS,4-5,"Two-page contents list mapping report section to printed page number, grouped under section banners (ADMINISTRATION, TOWN SERVICES, PROTECTION OF PERSONS & PROPERTY, PLANNING, EDUCATION, TOWN CLERK, MISCELLANEOUS INFORMATION).",one report / section,section or report title | page number,Two-level indented list with dot leaders,,45,clean,"Differs from FY2017: department headings are in ALL CAPS, and the FY2017 practice of naming departments that filed no report ('Agricultural Commission - no report submitted') is GONE -- bodies that did not report are simply absent, so the contents page no longer records the omission. Also, the entries for Lunenburg Public Schools and Monty Tech are single lines here (110, 134) rather than the itemised sub-lists FY2017 used. IMPORTANT MISLABEL: the entry reads 'Fiscal Year 2018 Omnibus Budget ... 155' but the table on p155-158 is headed 'FY 2019 Omnibus Budget'. Same off-by-one convention as FY2017.",contents
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Town profile facts,LUNENBURG PROFILE,6,"Key-value block of town facts: year incorporated, registered voters, tax rate, form of government, meeting/election dates, area, road miles.",one town attribute,attribute | value,"Label-dash-value lines, all caps",,9,clean,"Adds a line FY2017 did not have: 'REGISTERED VOTERS-7870'. Note this disagrees with both election tally sheets in the same report -- the May 2018 town election counted 7,799 registered and the report gives no reconciliation. Tax rate: FY'18 TAX RATE-$19.70.",facts profile
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"State and federal elected officials, with addresses",ELECTED OFFICIALS,7,"Contact directory for Governor, Attorney General, US Senators, US Representative, State Senator and State Representatives.",one office holder,name | office | mailing address | phone | email/website,Two-column blocks of contact cards,,8,messy,"Same structure as FY2017 p6, but the 3rd District Representative has changed from Niki Tsongas to Lori Trahan and the State Rep contact details are updated. Records the precinct-to-district mapping (37th Middlesex = precincts A, C, D; 3rd Worcester = precinct B), which is needed to read the state primary results on p239.",addresses elected federal officials
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Elected town officials with term-expiry years,ELECTED OFFICIALS,8-9,"Roster of every elected town board with each member's name and term-expiry year, plus resignations and vacancies.",one person on one board,board (with term length) | name | term expiry year or status note,"Board heading, then one person per line as 'Name - YYYY'",,55,clean,"Records mid-year departures inline ('Robert J. Ebersole - 2019 -Resigned November 2018', 'State Appointee- Vacant as of September 2018'). The Housing Authority entry for Deborah A. H. Christen has lost its term year.",elected expiry officials term
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Appointed town officials with term-expiry years,APPOINTED OFFICIALS / TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.,10-15,"Roster of every appointed board, committee and single-officer position, from Agricultural Commission through Zoning Board of Appeals.",one person in one appointed role,body or role (with term length) | name | term expiry year or status note,"Body heading, then names; some bodies rendered as two side-by-side columns",,130,messy,"Same shape as FY2017 pp9-14. Still includes Town Forest Committee, Tree Warden, Wellness Coordinator, Veterans Services Agent.",appointed expiry officials term
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Combined balance sheet, all fund types","TOWN OF LUNENBURG, MASSACHUSETTS / COMBINED BALANCE SHEET / ALL FUND TYPES AND ACCOUNT GROUPS / FOR THE YEAR ENDED JUNE 30, 2018",26,"The town's combined balance sheet: assets, liabilities and fund equity across six fund columns, with real estate tax receivables broken out by levy year back to FY07.",one balance-sheet line item,GENERAL FUND | SPECIAL REVENUE FUND | ENTERPRISE FUNDS | CAPITAL PROJECT FUND | FIDUCIARY FUND TYPES TRUST and AGENCY | GENERAL ACCT. GROUP LONG-TERM DEBT,"Row label at left, six unlabelled numeric columns; sparse rows populate only one or two columns","TOTAL LIABILITIES/FUND EQUITY $8,614,966.92 $2,075,188.85 $8,259,012.62 $1,671,644.20 $3,163,087.89 $49,662,322, matching TOTAL ASSETS",42,not without geometry,"Header stacked over four text lines, same as FY2017. Rows differ from FY2017: 'DUE FROM/TO TRUST FUNDS/SRF/ENTERPRISE' and 'DUE FROM/TO GENERAL FUND' have been merged into single signed rows (FY2017 had separate DUE FROM and DUE TO rows), and 'DUE FROM COMMONWEALTH OF MASS', 'PREPAID EXPENSES' and 'DUE TO TRUST FUNDS/SRF/CPF/ENTERPRISE' are now blank. BANS PAYABLE $2,242,270.00. Long-term debt $49,662,322 appears as both asset and liability.",all balance combined fund
2018,FY2018,4125-fy-2018-annual-town-report.pdf,General fund revenue pie chart (labels only),GENERAL FUND REVENUES FY 18,27,Pie chart of general fund revenue by broad source; only slice labels survive as text.,one revenue category,category | percent,Scattered chart labels,,4,messy,"PROPERTY TAXES 65.01%, MOTOR VEHICLE EXCISE 4.45%, STATE-LOCAL AID 22.67%, ALL OTHER 7.87%. Same four categories as FY2017 so the two years are directly comparable.",chart fund general labels
2018,FY2018,4125-fy-2018-annual-town-report.pdf,Receipts by revenue account for the year,FY 2018 RECEIPTS - JUNE 2018,28,"Every general-fund revenue account and its FY2018 receipts, grouped under TAXES & EXCISES, INTEREST, DEMANDS, FEES, DEPARTMENTAL REVENUE, LICENSES/PERMITS, STATE REVENUE, SPECIAL ASSESSMENTS, FINES & FORFEITS, EARNINGS ON INVESTMENTS, TRANSFERS FROM OTHER FUNDS, with a boxed SUMMARY OF RECEIPTS.",one revenue account,account name | amount,THREE side-by-side columns of name/amount pairs; the heading is printed at the BOTTOM of the page,"GRAND TOTAL $40,193,021.76; subtotals TAXES & EXCISES $28,161,819.15 / FEES $623,067.51 / LICENSES AND PERMITS $202,350.82 / STATE REVENUE $9,109,942.53 / SPECIAL ASSESSMENTS $79,666.57 / FINES & FORFEITS $29,716.68 / INVESTMENT INCOME $61,701.73 / TRANSFER FROM OTHER FUNDS $1,692,339.93 / NON RECURRING REVENUE $232,416.84",100,not without geometry,"THE FONT IS BROKEN IN THE TEXT LAYER: every capital T is followed by a spurious space, so account names extract as 'T AXES & EXCISES', 'REAL EST AT E T AXES', 'CH 70 SCHOOL AID' is fine but 'ST AT E REVENUE' is not. Any regex matching account names must normalise this first. Otherwise the same three-column interleaving problem as FY2017. New accounts absent from FY2017: HEALTH LICENSES $1,600.00, E-RATE REIMBURSEMENT $8,322.75, STATE REVENUE $1,677.00 (a line literally named 'STATE REVENUE' inside the STATE REVENUE group). Accounts that went to zero: SALE OF COMPOSTING BINS/RAIN BARRELS, RENTAL OF TURF FIELD FEES, FEDERAL REVENUE, POLE LOCATIONS, RECORDING FEES, RESIDENCY CERTIFICATE. CH 70 SCHOOL AID rose to $7,272,505.00 from $6,351,257.00. TRANSFERS FROM OTHER FUNDS nearly doubled to $1,692,339.93. DOG FINES again printed without a comma ('$2560.00').",account receipts revenue
2018,FY2018,4125-fy-2018-annual-town-report.pdf,General fund expenditure pie chart (labels only),GENERAL FUND EXPENDITURES FY 2018,29,Pie chart of general fund spending by broad function; only labels survive.,one spending category,category | percent,Scattered chart labels,,7,messy,"Education 52.55%, Debt Service 12.22%, All Other 12.45%, Protection 7.34%, General Govt Unclassified 6.59%, DPW 5.17%, General Government 3.69%. Same seven categories as FY2017.",chart expenditure fund general
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"General fund appropriations and expenditures, line by line",TOWN OF LUNENBURG / GENERAL FUND APPROPRIATIONS / SUMMARY & CLASSIFICATION OF ACCOUNTS / FISCAL YEAR 2018,30-34,"The full general fund appropriation ledger: appropriation, carry-forward, total available, expended, encumbered and balance to revenue for every department and sub-line, grouped by GENERAL GOVERNMENT, CENTRAL PURCHASING, PROTECTION, HEALTH AND SANITATION, DEPARTMENT OF PUBLIC WORKS, SOLID WASTE/RECYCLING PROGRAM, FACILITIES & BUILDINGS, PUBLIC ASSISTANCE, SCHOOLS, LIBRARY, UNCLASSIFIED, DEBT AND INTEREST, STATE & COUNTY ASSESSMENTS, TRANSFERS TO OTHER FUNDS.","one budget line within a department, with an unlabelled department subtotal row after each group",PROGRAM NAME | APPROPRIATED | TOTAL FUNDS FORWARD | TOTAL AVAILABLE | TOTAL EXPENDED | TOTAL ENCUMBERED | BALANCE TO REVENUE,Repeating header on each of the 5 pages; carry-forward and transfer amounts float to the right of the department name tagged 'fwd' or 'srt',"GRAND TOTAL $40,112,337.95 $40,112,337.95 $38,877,536.42 $527,104.02 $707,697.61, with a legend 'fwd - forward from FY 2017 / srt - Salary Reserve Transfer / Ift - Reserve Fund Transfer $0.00'",190,messy,"SUBSTANTIALLY WORSE THAN THE FY2017 VERSION. FY2017's copy of this table was a clean text layer; FY2018's is OCR and it has DROPPED WHOLE VALUES, not just mangled digits. Rows with values missing entirely: the whole Treasurer's Administration block (Treasurer's Salary reads '-+', Clerical Salaries and Other Expenses blank), Town Clerk's Salary, Town Clerk's Administration payroll columns, the Police Department block (Payroll-Administration, Payroll-Enforcement, Uniform Allowance, Educational Incentive all blank), the Fire Department appropriation column, and most of the STATE & COUNTY ASSESSMENTS block, which shows only two of the five columns. Digit-level OCR errors are pervasive: '57,537.37' for $7,537.37, '5104,850.58', '$187.004.44', '$2,500,00', '$B27.89', 'S4,822.10', '$1,842,18', '$69,390,67', 'S6,034.260.00' against '$5,034,260.00' on the same row, '$60,821.52' where the two flanking columns both say $50,821.52, '51,106,982.00', '$218.376.00', 'fwel' for 'fwd', 'Ift' for 'rft', 'Mte' for 'Mtc', 'Imit' as a stray line. DO NOT USE THIS TABLE WITHOUT RE-READING THE PDF. School Department is again a single pair: Payroll $13,567,789.00 and Other Expenses $5,034,260.00, subtotal $19,602,049.00. New line vs FY2017: 'Uniform Allowance Reimbursement' under Highway Labor. Transfer to Stabilization Fund jumped to $419,523.00 from $99,851.00.",appropriations expenditures fund general
2018,FY2018,4125-fy-2018-annual-town-report.pdf,"Special revenue funds -- balances, receipts and disbursements",TOWN OF LUNENBURG / SPECIAL REVENUE FUNDS / FISCAL YEAR ENDING 6/30/18,35-39,"Every grant, gift fund, revolving fund and reserved receipt outside the general fund, with opening balance, receipts, disbursements and closing balance. Grouped by GENERAL GOVERNMENT, SCHOOL DEPARTMENT, PUBLIC SAFETY, PARKS & RECREATION, HIGHWAY DEPT., COUNCIL ON AGING, LIBRARY, CEMETERIES, UNCLASSIFIED.",one fund,PROGRAM NAME | FORWARD 7/1/2017 | TOTAL RECEIPTS | TOTAL DISBURSEMENTS | BALANCE FWD 7/1/2018,Four numeric columns after the name; dormant funds show only opening and identical closing balance,"GRAND TOTAL $3,564,136.36 $6,246,072.62 $5,837,989.85 $3,972,219.13",140,messy,"The opening balance total $3,564,136.36 ties exactly to the FY2017 report's closing total -- the two years reconcile. OCR errors present but fewer than FY2017: '$6.902.18', '(53,309.18)' for ($3,309.18), '$42.355.59', '$248.016.00', '$2.426.50', '$1.208.91'. Eight funds are NEW in FY2018 and are worth noting because they show what the town started doing: Displaced Students - Puerto Rico, FY18 Title IV - Part A, Police Gift Fund, Storm Water Task Force Revolving, Inspector's Revolving Fund, Timber Rights Revolving, Artificial Turf Revolving, TNC Per Ride Assessment Fund (the ride-hailing per-ride surcharge, $263.10 in its first year), and four separate Community Compact grants (E-Permitting $40,000, Citizen Engagement $10,000, Storm Water Measures $25,000, 'Syber Security' [sic] $10,000, Animal Shelter Design $42,257). Chapter 90 ends the year at ($183,303.67). Sale of Cemetery Lots falls from $163,396.32 to $94,943.48 after the $84,200 appropriation voted at the 2017 ATM.",balances disbursements funds receipts
