dataset,fy,edition,pages,printed_heading,table,grain,printed_total,checkable,extractable,rows,notes
officials,2014,FY2014,11-15,APPOINTED OFFICIALS / TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.,"Appointed officials, committees and boards",one appointee,,no,clean,200,"Vacancies are recorded explicitly (' Vacancy', 'ASSISTANT BUILDING INSPECTOR / Vacancy'). Representative seats spell out which body the person represents ('Toby Bakaysa, Planning Board Representative'). Term lengths are marked on the heading ('BOARD OF APPEALS-5 years', 'CONSERVATION COMMISSION - 3 "
officials,2014,FY2014,76,Roster of the Lunenburg Fire Department- 2014,Fire Department roster,one firefighter,,no,clean,50,"Certification levels are distinguished: Firefighter, EMT, FF/EMT, FF/EMT-I, FF/Paramedic, Paramedic/EMS Coordinator. Includes a Chaplain (Rev. Andrew C. Burr). Footnote: '*Indicates member of Specialized Rescue Teams including Dive, Cave In and Confined Space Rescue Teams'. FY2013's equivalent roste"
officials,2014,FY2014,78-79,,Police Department roster by assignment,one officer,,no,clean,35,"Far more complete than FY2013, whose police page was mostly badge images and yielded only three names. Records a Detective post as '(Vacancy)'. Lists 'Officer K-9 Jerry (Full Time Officer)' under New Arrivals. Retirements section gives hire and retirement dates for two reserve officers, one hired 18"
officials,2014,FY2014,167,MEETING SCHEDULE,Board and committee meeting schedule,one board or committee,,no,clean,22,"Compare FY2013 page 5, where the same information is OCR-scrambled and unusable. Includes exceptions ('except July/Aug', 'except last' Tuesday) and a Green Community Task Force entry whose label runs into the schedule ('GREEN COMMUNITY TASK FORCEAs Needed'). School Committee meets twice a month in t"
officials,2015,FY2015,8,ELECTED OFFICIALS,Elected officials -- state and federal,one officeholder,,no,messy,9,"Records precinct-to-state-rep mapping: 37th Middlesex = Precincts A, C, D; 3rd Worcester = Precinct B."
officials,2015,FY2015,9-10,ELECTED OFFICIALS,Elected town officials with term-expiry years,one officeholder seat,,no,clean,55,"Notes resignations and appointments-to-vacancy inline (e.g. 'Kirja Paananen-2016 (appointed to vacancy)'). Covers Assessors, Board of Health, Selectmen, Cemetery, Constable, Housing Authority, Library Trustees, Moderator, Park, Planning, School Committee, Sewer, Town Clerk, Trust Fund Commission."
officials,2015,FY2015,11-15,APPOINTED OFFICIALS,Appointed town officials,one appointed position/member,,no,messy,180,"Header reads 'TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.' Includes obscure statutory posts -- Clockwinders, Fence Viewers, Field Driver, Pound Keeper, Public Weighers (for P.J. Keating Co.), Dam Keeper, RACES Control Operator. Roles held by the same person across positions are visible (Kerry"
officials,2015,FY2015,83,Roster of the Lunenburg Fire Department- 2015,Fire department roster,one firefighter,,no,messy,49,"Footnote: '*Indicates member of Specialized Rescue Teams including Dive, Cave In and Confined Space Rescue Teams'. Certification suffixes (EMT, EMT-I, AEMT, Paramedic, Firefighter) are the only place in the report where staffing qualification is recorded."
officials,2015,FY2015,84-85,POLICE DEPARTMENT / Lunenburg Police Department / 2015 Annual Report,Police department roster by assignment,one officer,,no,messy,30,"Reserve/intermittent officers are listed separately from full-time, so headcount depends on which group you count -- the narrative uses '14 officers, including the Police Chief'."
officials,2015,FY2015,93,Capital Planning Committee Recommendation,Capital planning committee FY16 recommendation,one capital request,"Total: 1,051,578.00$ 578,810.00$ 222,768.00$ 801,578.00$ ; Sources of Funding: Prior Year Unspent Capital 67,284.64$, Cash Outlay 511,525.36$, Borrowing 222,768.00$ 801,578.00$, Operating Budget DPW 250,000.00$, 1,051,578.00$",yes,messy,13,"The cost column and the Total column differ for row 1 (Pavement Management 250,000 is funded through the Operating Budget and so has no Cash/Debt/Total entry) -- which is exactly why the two totals differ, 1,051,578 vs 801,578. The page states the criteria used: Mandates, Safety, Need, Crisis, Cost "
officials,2015,FY2015,203,FY 2016 ELECTED OFFICIALS,FY2016 elected officials by term expiry,one officeholder seat,,no,messy,45,"'**' appears to flag seats expiring/up for election. Includes one governor-appointed Housing Authority member ('Appointed By Governor: 2011 Elizabeth A. Murphy**'). This list differs from the p9-10 elected officials list, which is the pre-election slate -- the report carries both."
officials,2015,FY2015,212,MEETING SCHEDULE,Board and committee meeting schedule,one board,,no,clean,22,"Records exceptions inline ('EXCEPT JULY/AUG.', 'EXCEPT LAST WEEK/MONTH'). A record of which boards were active in 2015 -- the Building Reuse Committee and School Building Committee, both active per pp11 and 15, are absent from this schedule."
officials,2015,FY2015,213-214,TOWN DEPTS./BOARDS/COMMITTEES HOURS PHONE #,Town department hours and phone numbers,one department,,no,messy,27,"States 'ALL TOWN OFFICES EXCEPT WHERE NOTED, ARE CLOSED ON FRIDAYS' -- a four-day town hall week. p214 repeats its own header lines twice by mistake. Some entries name the individual officeholder in place of hours (BY APPOINTMENT / GARY WILLIAMS)."
officials,2016,FY2016,7,ELECTED OFFICIALS,Elected officials -- state and federal,one officeholder,,no,messy,9,Substantively identical to FY2015 p8.
officials,2016,FY2016,8-9,ELECTED OFFICIALS,Elected town officials with term-expiry years,one officeholder seat,,no,clean,55,Resignations and vacancy appointments annotated inline.
officials,2016,FY2016,10-15,APPOINTED OFFICIALS,Appointed town officials,one appointed position/member,,no,messy,180,"Header: 'TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.' Six pages here against five in FY2015. New this year: TOWN MANAGER SCREENING COMMITTEE (p15), reflecting the manager turnover described on p19. The obscure statutory posts (Clockwinders, Fence Viewers, Public Weighers) persist."
officials,2016,FY2016,64-65,FINANCE COMMITTEE,Finance Committee budget message,one budget driver,"recommending approval of the Town budget in the amount of $33,802,328.00",yes,messy,12,"ENTIRELY NEW -- FY2015 had no Finance Committee report at all, and this one carries the interpretive figures the tables do not: 67% of revenue from real estate taxes and 33% from other sources; 'Chapter 70 funding ... accounts for $1 of every $3 budgeted for the schools'; Retirement Assessment up 8."
officials,2016,FY2016,87,Roster of the Lunenburg Fire Department- 2016,Fire department roster,one firefighter,,no,messy,43,"Footnote wording changed from FY2015: '*Indicates member of Regional Technical Rescue and/or Dive Team' (FY2015 said 'Specialized Rescue Teams including Dive, Cave In and Confined Space Rescue Teams'). Roughly six fewer names than FY2015's 49, consistent with the turnover figures on p86."
officials,2016,FY2016,88-89,POLICE DEPARTMENT / Lunenburg Police Department / 2016 Annual Report,Police department roster by assignment,one officer,,no,messy,30,"K-9 Jerry is listed as a member of the Traffic/K-9 unit. The reserve intermittent list grows from 12 to 13 names while the patrol officer list shrinks by one. Animal Control is now shown under the Police Department, completing the transfer described in FY2015 p86."
officials,2016,FY2016,194,FY 2017  ELECTED OFFICIALS,FY2017 elected officials by term expiry,one officeholder seat,,no,messy,45,"'**' flags seats. Marks appointments to vacancy inline ('2017 Peter McCauliff (appointed)'). This is the post-election slate; the pre-election slate is on pp8-9, so the report again carries both."
officials,2017,FY2017,6,ELECTED OFFICIALS,"State and federal elected officials, with addresses",one office holder,,no,messy,8,"Two side-by-side columns; the extraction interleaves them with ' | '. Records which Lunenburg precincts fall in which House district (37th Middlesex = precincts A, C, D; 3rd Worcester = precinct B)."
officials,2017,FY2017,7-8,ELECTED OFFICIALS,Elected town officials with term-expiry years,one person on one board,,no,clean,60,"Boards covered: Assessors, Board of Health, Selectmen, Cemetery Commission, Constable, Housing Authority, Library Trustees, Moderator, Park Commission, Planning Board, School Committee, Sewer Commission, Town Clerk, Trust Fund Commission. Status notes are inline ('resigned April 2017', 'appointed Ju"
officials,2017,FY2017,9-14,APPOINTED OFFICIALS / TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.,Appointed town officials with term-expiry years,one person in one appointed role,,no,messy,130,"Includes small offices a reader would not expect: Town Clock Winders (6 names), Public Weighers for P.J. Keating Co. (7 names), 'RACES' Control Operator, Pound Keeper, Fence Viewers ('Vacancies'), Field Driver, Dam Keeper and Assistant Dam Keeper, Hazardous Waste Coordinator, Wellness Coordinator, E"
officials,2017,FY2017,81,Roster of the Lunenburg Fire Department- 2017,"Fire department roster, 2017",one firefighter/EMT,,no,clean,45,"Certification level is part of the title (FF/EMT, FF/AEMT, FF/Paramedic, EMT, Firefighter) so the roster doubles as a certification census -- only 2 Paramedics in 2017. '+ Indicates Full Time Staff' (7 people) and '*Indicates member of District Technical Rescue Team'."
officials,2017,FY2017,83,,"Police department roster by assignment, 2017",one officer,,no,clean,30,Shows one Detective post as '(Vacancy)' -- vacancies are visible here in a way they are not in any budget line. Names the K-9 (Jerry). 14 reserve intermittent officers against 15 full-time positions.
officials,2017,FY2017,90,Capital Planning Report / The Committee has recommended the following items be included in the FY2018 Capital Plan,Capital plan recommended for FY2018,one capital item,"Total 633,317$",yes,messy,10,"The trailing-dollar-sign artefact affects every figure. CIP tracker codes encode the requesting department and year (FM16-09 facilities, DPW16-07, FD16-14 fire, PD16-10 police, LPS16-19 schools); three rows have no tracker code, printed as '-'. Every item is priority 1. Ties to Article 7 of the May "
officials,2017,FY2017,200-201,MEETING SCHEDULE,Board and committee meeting schedule,one board or commission,,no,clean,22,"Several entries are 'AS NEEDED' or 'VARIES' rather than a fixed schedule (Capital Planning, Green Community Task Force, Cemetery Commission, Parks Commission, Zoning Board of Appeals). Conservation Commission meets at two different venues on two different weeks."
officials,2018,FY2018,7,ELECTED OFFICIALS,"State and federal elected officials, with addresses",one office holder,,no,messy,8,"Same structure as FY2017 p6, but the 3rd District Representative has changed from Niki Tsongas to Lori Trahan and the State Rep contact details are updated. Records the precinct-to-district mapping (37th Middlesex = precincts A, C, D; 3rd Worcester = precinct B), which is needed to read the state pr"
officials,2018,FY2018,8-9,ELECTED OFFICIALS,Elected town officials with term-expiry years,one person on one board,,no,clean,55,"Records mid-year departures inline ('Robert J. Ebersole - 2019 -Resigned November 2018', 'State Appointee- Vacant as of September 2018'). The Housing Authority entry for Deborah A. H. Christen has lost its term year."
officials,2018,FY2018,10-15,APPOINTED OFFICIALS / TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED.,Appointed town officials with term-expiry years,one person in one appointed role,,no,messy,130,"Same shape as FY2017 pp9-14. Still includes Town Forest Committee, Tree Warden, Wellness Coordinator, Veterans Services Agent."
officials,2018,FY2018,69-70,"FINANCE COMMITTEE REPORT / Lunenburg Finance Committee Report, Fiscal Year 2019",Departmental budget changes for FY2019,one department or budget group,,no,messy,16,"This is the closest thing either report has to a department-by-department budget-change table, and it exists only as bullets. Values: General Government +$64,780; Central Purchasing no change; Police +$113,408; Fire +$112,498; Radio Watch +$20,749; Total Protection +$256,468 (8.7%); DPW +$79,207; Bu"
officials,2018,FY2018,98,Roster of the Lunenburg Fire Department- 2018,"Fire department roster, 2018",one firefighter/EMT,,no,clean,44,"Because certification is part of the title, the roster doubles as a certification census and shows the shift the narrative describes: full-time staff (marked '+') rises from 7 to 9 entries, and Paramedics from 1 to 2 (Warren Mayhew and Tyler Pelkey, the latter having been FF/EMT in FY2017). Placemen"
officials,2018,FY2018,100,,"Police department roster by assignment, 2018",one officer,,no,clean,30,"Still shows one Detective post as '(Vacancy)'. Patrol officers rise from 6 to 10 named and reserves from 14 to 12. Note an internal inconsistency: Josh Tocci is listed both as a Patrol Supervisor ('Sergeant Josh Tocci') and under Traffic/K-9 ('Sgt. Joshua Tocci'), and Brad McNamara appears both as S"
officials,2018,FY2018,104,CAPITAL PLANNING COMMITTEE / The committee has recommended the following items be included in the FY 2019 Capital Plan.,Capital plan recommended for FY2019,one capital item,"Total | $520,214, plus a note 'CPC recommends short term (5 year) financing option for Ladder Truck ($935,000) and other available funds.'",yes,messy,12,"TWO ROWS ARE BROKEN BY A LINE WRAP IN THE COST COLUMN: 'PD17-02 | Police Vehicles,2 | 0 | $112,000' (the cost is $112,000, split as '$112,00' on the preceding line and '0' here) and 'LPS16-19 | Asbestos | 0 | $336,600' (cost $130,000). A naive read gets both costs wrong. Column headers differ from F"
officials,2018,FY2018,255,MEETING SCHEDULE,Board and committee meeting schedule,one board or commission,,no,clean,15,"SHORTER THAN FY2017: 15 bodies against 22, and it now fits on one page where FY2017 needed two. Dropped entirely: Board of Assessors, Capital Planning Committee, Cemetery Commission, Green Community Task Force, Parks Commission, Personnel Committee. Whether those bodies stopped meeting or were simpl"
officials,2019,FY2019,12-13,"(section heading on unreadable page 10; individual board headings printed, e.g. 'Board of Health - (5 members) 3 year term')",Elected officials and term-expiry years,one officeholder,,no,clean,60,"Boards covered: Board of Health, Board of Selectmen, Cemetery Commission, Constable, Housing Authority, Library Trustees, Moderator, Planning Board, School Committee, Sewer Commission, Town Clerk, Trust Fund Commission. Two vacancies recorded as 'due to Failure to Elect'. Mid-year resignations are d"
officials,2019,FY2019,14-19,"(committee names printed in caps, e.g. 'AMERICANS WITH DISABILITIES COMMITTEE-3 year term')","Appointed officials, boards and committees",one appointee,,no,clean,200,"Records vacancies explicitly ('1 Vacancy', 'Two Alternate Vacancies'). Single-officer appointments (Building Commissioner, Assistant Town Clerk, Animal Control Officer, Tree Warden) are interleaved with multi-member committees. Terms with unusual year-boundaries are flagged in the heading ('Term run"
officials,2019,FY2019,98,Career Firefighters+ / Call Firefighters,"Fire Department roster, 2019",one firefighter,,no,clean,40,"This is the closest thing in the report to a headcount, and it is a roster of people rather than a budget line -- worth noting against rule 11. Certification levels are recorded per person (EMT, AEMT, Paramedic), which makes the department's paramedic-capability narrative checkable: only three Param"
officials,2019,FY2019,99-100,LUNENBURG POLICE DEPARTMENT,"Police Department roster, 2019",one officer,,no,clean,35,"There is NO police statistics table in the FY2019 report -- the activity figures are in prose on p102 (3,056 calls answered by the day shift desk officer, 4,666 lobby inquiries, 82 incident reports, 83 detainees, 322 firearms licences up 109%, 15 sex offenders registered, 356 animal calls, staff ass"
officials,2019,FY2019,107,(column headings 'Priority # / CIP# / Dept. / Project Name / Category / FY 2020 Projected'),FY2020 capital plan (Capital Planning Committee report),one capital project,"Total Capital Plan 1,684,100.00",yes,clean,15,"Two rows lost their Category value and one lost its Project Name (priority 10, GG19-02, Planning, $50,000 -- the town meeting printing on p160 identifies it as 'Master Plan'). The fourteen amounts sum to 1,684,100.00, tying exactly. Largest items: Engine 4 Replacement (1995) $685,000; Rescue 2 Repla"
officials,2019,FY2019,205,(contents page calls it 'Town Office Hours/Committee Meeting Schedule'),Town office hours and telephone directory,one office,,no,clean,25,"Names the individual holding several part-time inspectorships (Electrical Inspector John Biery, Plumbing/Gas Inspector Gary Williams, Weights & Measures Stephen Cullinane), each 'BY APPOINTMENT'. Useful as a list of what counted as a distinct town office in FY2019."
officials,2020,FY2020,6,ELECTED OFFICIALS / MASSACHUSETTS CONGRESSIONAL DELEGATION / STATE LEGISLATORS,Federal and state legislator contact directory,one office-holder,,no,clean,8,"Records the turnover from the FY2019 report: Senate seat now John Cronin (was Dean Tran), 37th Middlesex now Danillo Sena (was Jennifer Benson), 3rd Worcester now Michael Kushmerek (was Stephan Hay). Unlike FY2019 this page does NOT state which precincts each House member covers."
officials,2020,FY2020,7-8,ELECTED OFFICIALS,Elected officials with term-expiry years,one office-holder,,no,messy,45,"Some rows collided during extraction and now read as two people merged into one line, e.g. 'David M. Passios Perry R. Jewell- resigned 6/25/2020-2023', 'Carol HatchLinda M. McDonald-2024-resigned-2021', 'Robert ConroyHarry Kubetz--20202021', 'Kathleen McCarronDonna Saiia-2022-2023'. These need split"
officials,2020,FY2020,9-13,APPOINTED OFFICIALS / TERMS ARE FOR ONE YEAR UNLESS OTHERWISE INDICATED,Appointed officials roster,one appointed position or committee member,,no,clean,200,Much cleaner than FY2019's equivalent.
officials,2020,FY2020,64-65,FINANCE COMMITTEE REPORT / Fiscal Year 2021,Finance Committee: FY2021 budget reductions from target,one reduction,"reductions leave a $1,055,950 surplus; total requested budget appropriation $38,658,115",yes,clean,5,"COVID CONTENT. Lunenburg Public Schools $192,157; Capital Plan $664,333; DPW $102,000; Additional Firefighter $95,359; Additional Police Officer $84,664. The surrounding prose gives further hard figures: revenue projections down $300,290 from the pre-COVID budget; school budget 57% of town expenses "
officials,2020,FY2020,88,Roster of the Lunenburg Fire Department- 2020,Fire Department roster 2020,one firefighter,,no,messy,40,"Legend printed at the foot: '+ Indicates Full Time Staff', '*Indicates member of District Technical Rescue Team'."
officials,2020,FY2020,90,,Police Department roster 2020,one officer,,no,clean,25,"Chief Thomas L. Gammel replaced Chief James P. Marino, whose 41-year career is described on p91 -- and who then joined the Select Board, so he appears in the elected officials list on p7 as well."
officials,2021,FY2021,8-9,"(board headings printed, e.g. 'Select Board - (5 members) 3 year term')",Elected officials and term-expiry years,one officeholder,,no,clean,55,Records vacancies and mid-term departures explicitly: Housing Authority '1 Vacancy' and 'Governor Appointee-vacant'; Trust Fund Commission '1 Vacancy-failure to elect'; Sewer Commission 'Carl Luck-resigned 4/30/2021'. School Committee is described as '(5 members)' here while the FY2019 report's town
officials,2021,FY2021,10-16,"(committee names in caps, e.g. 'HISTORICAL COMMISSION- 3 year term (not less than 3 nor more than 7 members)')","Appointed officials, boards and committees",one appointee,,no,clean,200,"Includes single-officer appointments (Hazardous Waste Coordinator, Hearings Officer, Pound Keeper, Tree Warden, Town Clockwinders) alongside multi-member committees. Some committees carry their statutory size in the heading. Compare with the FY2019 list to see the turnover: Police Chief is Thomas Ga"
officials,2021,FY2021,65,GREEN COMMUNITIES COMMITTEE,"Green Communities grant projects, FY2021",one funded project,"'Green Community Grant funds totaling over $57,000'",yes,messy,6,"Only one project carries a figure ($10,000 toward hybrid cruisers for the Police Department); the rest are named without amounts (Building Operator Training for DPW staff, retro-commissioning of the Public Safety Building heating system, water heater and insulation at the Boys & Girls Club, hot wate"
officials,2021,FY2021,86,Career Firefighters+ / Call Firefighters,"Fire Department roster, 2021",one firefighter,,no,clean,40,"Career staffing is eight (against seven in FY2019), consistent with the Finance Committee's Five Year Staffing Plan on p64 that adds one career firefighter a year to FY2023. Paramedic count has grown: Austin Flagg and Carl Gamberdella are now FF/Paramedic where they were FF/EMT in FY2019, joined by "
officials,2021,FY2021,90,Department Personnel:,"Police Department personnel roster, 2021",one officer or post,,no,clean,20,"Records vacancies as posts rather than omitting them: 'Sergeant Vacant' on split shift and 'Detective Vacant (FY21)'. That makes it a rare published statement about whether budgeted positions were FILLED -- one of the project's standing questions. Chief is Thomas L. Gammel, replacing James Marino si"
officials,2021,FY2021,96,Below is the FY 2022 Capital Plan being recommended for approval at the Annual Town Meeting:,FY 2022 capital plan (Capital Planning Committee report),one capital project; then one funding source,"Total Capital Plan 1,597,825; Total Available Funding 1,597,825; Surplus/(Shortfall) (0)",yes,clean,22,"RICHER THAN THE FY2019 EQUIVALENT IN TWO WAYS. First, it carries TWO priority columns -- the Town Manager's and the Capital Planning Committee's -- and they disagree: Turnout Gear is CPC priority 1 but TM priority 2, Bulletproof Vests CPC 2 but TM 3. Several TM priorities did not OCR. Second, it pri"
officials,2022,FY2022,7,ELECTED OFFICIALS / MASSACHUSETTS CONGRESSIONAL DELEGATION / STATE LEGISLATORS,Elected officials - state and federal,One official.,,no,clean,8,Lunenburg is split between two House districts - 37th Middlesex (Danillo Sena) and 3rd Worcester (Michael Kushmerek) - which is why the state election tally sheets later in the report show sub-precincts B1 and C1.
officials,2022,FY2022,8-9,ELECTED OFFICIALS,Elected town officials and term expiry,One officeholder.,,no,messy,55,"The text layer has a specific defect on these two pages: two adjacent names/years are interleaved character-wise, e.g. 'Richard H. LetarteKevin Fish-2025-2024' is really 'Richard H. Letarte-2025' and 'Kevin Fish-2024'. It happens throughout both pages. One entry records a resignation inline: 'Jon D."
officials,2022,FY2022,10-15,APPOINTED OFFICIALS,"Appointed officials, boards and committees",One appointee under a board or office heading.,,no,messy,240,"Includes the same statutory oddities as FY2021: Dam Keeper (Ronald Wilson), Fence Viewers, 'RACES' radio amateur emergency service, Hearings Officer, Inspector of Animals."
officials,2022,FY2022,85,Roster of the Lunenburg Fire Department- 2022,Fire department roster 2022,One firefighter.,,no,clean,45,The '+' and '*' markers on names carry meaning that the printed key does not fully explain in the extract. Much cleaner than FY2021's version of the same roster.
officials,2022,FY2022,87-88,Department Personnel:,Police department personnel roster,One officer or staff member.,,no,clean,25,"Bureaus: Administration, Patrol (Day/Evening/Night/Split), Traffic, Investigative, Community Policing; K9 Jerry and comfort dog Hank are both named. Reserve officers listed separately on p88."
officials,2022,FY2022,94,CAPITAL PLANNING REPORT / Fiscal Year 2023 Capital Plan,Fiscal Year 2023 capital plan (Capital Planning Committee report),One capital project request.,"$2,162,849.00. Funding: Raise & appropriate 967,725.00; Free cash 983,034.39; Unexpended Capital 212,089.61; Premium Reserved for Capital (blank); Special Purpose Stabilization Account (blank); Total Available Funding 2,162,849.00; Surplus/(Shortfall) -",yes,clean,23,"Richer than FY2021's capital plan: this one carries a 'Collins Pts' scoring column (Collins Center prioritisation points) that FY2021's table does not have, and it names both the Town Manager's and the Committee's priority orders separately so the two can be compared. Narrative above the table gives"
officials,2022,FY2022,117-119,2022 - 2023 LMHS Staff Roster,2022-2023 LMHS staff roster,"One staff member, surname-first, with 'DH' marking a department head.",,no,messy,110,The heading appears ONLY on p117; pp118-119 continue the same roster with no repeated heading. Note the roster is for the 2022-2023 school year while the rest of the report covers FY2022 (July 2021-June 2022) - the staff list is a year ahead of the finances. FY2021 split this into two separate unhea
officials,2022,FY2022,137,,Monty Tech district committee membership,One committee member.,twenty-two dedicated individuals,yes,clean,22,"Lunenburg's representative and the Chair, Vice Chair, Secretary and District Treasurer are all identified. FY2021 prints the same committee at its p135 but in a badly OCR'd form."
officials,2023,FY2023,7-9,ELECTED OFFICIALS,Elected officials roster (state and local),one officeholder,,no,messy,60,"Names and years run together in the text layer (e.g. 'John T. RabbittKevin Fish-2025- 2026' on p8, 'Erik TorgersenMatt Allison-2025-2024' on p9). Board headings carry the seat count and term ('Board of Assessors - (3 members) 3 year term')."
officials,2023,FY2023,10-15,APPOINTED OFFICIALS,Appointed officials roster,one appointee,,no,messy,180,"Entries carry status annotations inline, e.g. 'Patricia Adams-resigned 8/2022'. Covers everything from Agricultural Commission to Dam Keeper, RACES radio operators, and inspectors."
officials,2023,FY2023,94,Roster of the Lunenburg Fire Department- 2023,Fire department roster,one firefighter,,no,messy,40,"Rank and certification are inside the name string ('Carl Gamberdella, FF/Paramedic'). Symbols + and * flag something the page's key explains. The administrative assistant row sits in the middle of the shift grid."
officials,2023,FY2023,96,Department Personnel:,Police department personnel roster,one officer or staff member,,no,messy,30,"OCR quality is poor across the whole police section (pages 95-104), which is a scanned insert on department letterhead rather than laid-out report pages."
officials,2023,FY2023,165-167,"(none of its own — it follows Article 7 on p164, '...to fix the salaries and compensation of all elected officials of the Town as follows:')",FY2024 voted operating budget by line number,one numbered budget line,"No grand total is printed on the table itself; the total is in the Article 7 vote text on p164: 'Fiscal Year 2024 of $42,584,048.95'",yes,messy,90,"The extracted table BEGINS mid-list at line 13/Reserve Fund — lines 1 to 12 (debt service, insurance, retirement, workers comp and similar) did not come through OCR and are effectively missing from the text layer. Line numbers are the same ones the town meeting votes reference by number ('line #13A/"
officials,2024,FY2024,7-9,ELECTED OFFICIALS,Elected officials roster (state and local),one officeholder,,no,messy,60,"Same run-together defect as FY2023: 'John T. RabbittSarah Cammer-- 20272026' (p8), 'Glenn McLeodMatt Allison--2025 2029' (p9). Board composition changed substantially from FY2023 — the whole Board of Assessors turned over."
officials,2024,FY2024,10-15,APPOINTED OFFICIALS,Appointed officials roster,one appointee,,no,messy,200,"Cleaner text layer than FY2023 (all 'plain' extraction, no OCR). Annotations inline: 'Matthew Allison- Resigned 6/3 2024'. NOTE a probable duplication: the heading 'INSPECTOR OF PLUMBING/GAS / Gary Williams' appears at the top of BOTH page 13 and page 15. New bodies appear that FY2023 did not list, "
officials,2024,FY2024,78,FIRE DEPARTMENT / Roster of the Lunenburg Fire Department- 2024,Fire department roster,one firefighter,,no,messy,40,"Same shape as FY2023 page 94 but OCR'd this year rather than laid out, so slightly worse. Rank and certification are inside the name string."
officials,2024,FY2024,79-80,(under the department letterhead 'POLICE DEPARTMENT ... Interim Chief Jeffrey Thibodeau'),Police department personnel roster,one officer or staff member,,no,messy,30,"OCR quality poor across the whole police insert (79-85), as in FY2023. The department is led by an Interim Chief this year; Chief Thomas Gammel retired."
officials,2025,FY2025,10,ELECTED OFFICIALS,State and federal elected officials directory,One officeholder with address/phone/email,,no,messy,8,Two-column layout collapses in the text dump — lines interleave the left and right officeholder.
officials,2025,FY2025,11-12,ELECTED OFFICIALS,Elected town officials with term-expiry years,One person (or one recorded vacancy) on one board,,no,clean,60,"Boards covered: Assessors, Board of Health, Select Board, Cemetery Commission, Constable, Housing Authority, Library Trustees, Moderator, Parks Commission, Planning Board, School Committee, Sewer Commission, Town Clerk, Trust Fund Commission. Vacancy lines read '1 Vacancy'. School Committee is descr"
officials,2025,FY2025,13-18,APPOINTED OFFICIALS,Appointed town officials with term-expiry years,One person (or recorded vacancy) in one appointed role,,no,messy,120,"Runs Agricultural Commission through Zoning Board of Appeals. Several headings are broken mid-word by the extractor ('PUBLIC A / CCESS CABLE COMMITTEE', 'TREE WARDE / N'). Personnel Committee is listed as '5 Vacancies'. One Green Communities term reads 'expires 20247'."
officials,2025,FY2025,52-55,,FY26 budget and override figures in the Finance Committee report,One budget figure,,no,messy,20,"Key figures: FY25 Levy Limit $31,602,108; automatic 2.5% increase $790,052.70; new growth estimate $400,000; total increase 3.76%; excluded debt $2,213,677; maximum allowable levy $35,005,838. FY2026 Net State Aid estimated $10,006,739; Chapter 70 $9,109,185. School Department $25,787,474 in the Omn"
officials,2025,FY2025,78,Roster of the Lunenburg Fire Department- 2025,Fire department roster,One firefighter,,no,not without geometry,40,"Multi-column layout with name and title frequently split across two extracted lines ('Kenneth Jones,' / 'Captain/AEMT'). Legend printed on the page: '*Indicates member of District Technical Rescue Team; + Indicates Career/Full Time Staff; FF- Firefighter; EMT- Firefighter/Emergency Medical Technicia"
officials,2025,FY2025,79,Department Personnel:,Police department personnel roster,One officer or staff member,,no,not without geometry,25,Columns interleave badly in the text dump — e.g. 'K9 Ofc. John Wagner Bureau Ofc. Robert DaCosta' merges three different columns. One Sergeant post is printed as 'Sgt. Vacant'. The SRO entry carries a parenthetical '(Accompanied by Comfort Dog: Hank)' split across two lines and two columns.
school_rosters,2011,FY2011,37-38,PRIMARY SCHOOL FACULTY / STAFF ROSTER,Lunenburg Primary School faculty and staff roster,one staff position,,no,clean,45,"Class sections are identified by code (K-1, K-2, 2A..2F). Specialists carry their grade range in parentheses (e.g. 'Mary Schults (Prek-K)'). A few names are OCR-mangled ('usie Barne', 'herri Flyn')."
school_rosters,2011,FY2011,39-40,THOMAS C. PASSIOS ELEMENTARY SCHOOL FACULTY,Thomas C. Passios Elementary School faculty roster,one staff position,,no,clean,40,"The narrative on p38 gives the enrolment behind this roster: 358 students in 15 classrooms, average class size about 24."
school_rosters,2011,FY2011,42-43,TURKEY HILL MIDDLE SCHOOL STAFF ROSTER ~ 2011-2012,Turkey Hill Middle School staff roster 2011-2012,one staff position,,no,clean,40,"Grade 6 and 7 teams are further split by house colour, recorded in parentheses ('(RED)', '(WHITE)'). Room number is embedded in the same string as the name."
school_rosters,2011,FY2011,44-45,LUNENBURG HIGH SCHOOL / Faculty/Staff Roster / 2011-2012,Lunenburg High School faculty and staff roster 2011-2012,one staff position,,no,clean,40,'Department Liaison' appears as a role beside the name rather than as a separate column.
school_rosters,2012,FY2012,35,,Lunenburg Primary School staff roster with room numbers,one staff position,,no,messy,45,"Room numbers are a separate column here (they were part of the name string in the FY2011 THMS roster). Several rows have the room number and the name on different lines. Section headings (Pre-School, Second Grade, Third Grade, Achieve, Physical Education/Health) are legible."
